Seed,Retention,Recovery,Compliance,BehavioralCost
1,97.56,11.318242343541945,45.20115225356826,114.22197932533207
2,97.5,10.301003344481606,44.979656813778185,114.82437371653339
3,97.66,9.261744966442953,45.12209108095865,114.4490028349284
4,97.28,10.066666666666666,45.13371876301922,114.20274192320936
5,97.58,9.719504240052185,45.21871512861569,113.6500277476492
6,97.72,10.581639803784162,45.36838129806198,113.85605358392917
7,97.46000000000001,9.572301425661914,45.09223211245228,114.56334740303859
8,97.56,9.854497354497354,44.99158267087381,114.80919771900955
9,97.74000000000001,10.129870129870131,45.0159686142073,114.31788693469689
10,97.46000000000001,11.020408163265307,45.010582926758424,114.99584455880287
11,97.61999999999999,10.773298083278256,45.17133841392627,114.07011072798501
12,97.2,9.446693657219974,45.02203111000997,114.67422110905476
13,97.48,8.500973393900065,45.124854137786045,113.9647225997139
14,98.22,9.896507115135835,45.18203862705775,113.98256290838863
15,97.11999999999999,11.866666666666667,45.137794711184966,114.23754558965072
16,97.88,11.741935483870968,45.12599750365521,113.91828896704001
17,97.06,10.0,45.27118819543633,113.78850026752386
18,97.39999999999999,9.917355371900827,44.80714819289089,114.66959621594202
19,97.74000000000001,9.941520467836257,45.02472775308232,114.38701277425058
20,97.64,9.562841530054644,45.375570949906574,113.92614226260488
